"","Criteria","Quadratic","Cubic","Buchanan","Baranyi","Logistic","Gompertz"
"1","AIC",94.8907042722538,59.1850029139824,142.326525478802,122.465525383884,57.7458015367153,64.4240030204983
"2","BIC",103.46324317782,69.90067654594,150.282461665059,132.410445616705,66.3183404422814,74.3689232533197
